Altium Designer Pick and Place Locations
C:\dev\sonata-pcb\sonata_altium_project\Project Outputs for sonata-board\Pick Place\Pick Place for cheriot-test.csv

========================================================================================================================
File Design Information:

Date:       16-02-24
Time:       14:28
Revision:   3f192a82d6eaeda4fd3ccb303a04096ba00d6655
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"SW1","218-4LPSTR","BottomLayer","FP-218-4LPSTR-MFG","80.0100","46.6090","180","SWITCH SLIDE DIP SPST 25MA 24V"
"J4","10 Pin Cortex Program & Debug","TopLayer","0.5mm_SMD_Header_5x2","70.4850","46.4600","270","10 Pin Cortex Program & Debug 0.5mm pitch"
"D28","LED, 0603, Green","TopLayer","LED-0603-GREEN","50.0380","75.3110","180","Chip LED, Green"
"D27","LED, 0603, Green","TopLayer","LED-0603-GREEN","50.0380","77.7240","180","Chip LED, Green"
"D26","LED, 0603, Green","TopLayer","LED-0603-GREEN","50.0380","80.1370","180","Chip LED, Green"
"MH7","M3, Tight Fit","TopLayer","MOUNT_M3_TIGHT","46.0000","104.0000","0","Machine screw M3 Mounting Hole"
"MH6","M3, Tight Fit","TopLayer","MOUNT_M3_TIGHT","163.0000","32.0000","0","Machine screw M3 Mounting Hole"
"MH5","M3, Tight Fit","TopLayer","MOUNT_M3_TIGHT","46.0000","32.0000","0","Machine screw M3 Mounting Hole"
"SW3","CUS-13TB","TopLayer","FP-CUS-13TB-MFG","45.5500","77.2000","270","SWITCH SLIDE SP3T 300MA 4V"
"SW7","CUS-13TB","TopLayer","FP-CUS-13TB-MFG","57.5000","31.8500","0","SWITCH SLIDE SP3T 300MA 4V"
"IC1","W956D8MBYA5I","TopLayer","BGA24C100P5X5_600X800X120","81.2000","70.6000","270","Integrated Circuit"
"J1","SM04B-SRSS-TB_LF__SN_","TopLayer","SM04B-SRSS-TB(LFSN)","69.5900","31.1475","0","Connector"
"D25","LED, 0603, Red","TopLayer","LED-0603-RED","57.1500","37.0000","180","Chip LED, Red"
"D24","LED, 0603, Red","TopLayer","LED-0603-RED","57.1500","39.0000","180","Chip LED, Red"
"D23","LED, 0603, Red","TopLayer","LED-0603-RED","57.1500","41.0000","180","Chip LED, Red"
"D22","LED, 0603, Red","TopLayer","LED-0603-RED","57.1500","43.0000","180","Chip LED, Red"
"D20","LED, 0603, Red","TopLayer","LED-0603-RED","57.1500","45.0000","180","Chip LED, Red"
"D18","LED, 0603, Red","TopLayer","LED-0603-RED","57.1500","47.0000","180","Chip LED, Red"
"D17","LED, 0603, Red","TopLayer","LED-0603-RED","57.1500","56.5000","180","Chip LED, Red"
"D16","LED, 0603, Red","TopLayer","LED-0603-RED","57.1500","49.0000","180","Chip LED, Red"
"D15","LED, 0603, Green","TopLayer","LED-0603-GREEN","57.1500","58.5000","180","Chip LED, Green"
"D13","LED, 0603, Red","TopLayer","LED-0603-RED","57.1500","51.0000","180","Chip LED, Red"
"D12","LED, 0603, Red","TopLayer","LED-0603-RED","57.1500","53.0000","180","Chip LED, Red"
"MH4","M3, Tight Fit","TopLayer","MOUNT_M3_TIGHT","129.0000","103.0000","0","Machine screw M3 Mounting Hole"
"MH3","M3, Tight Fit","TopLayer","MOUNT_M3_TIGHT","71.0000","103.0000","0","Machine screw M3 Mounting Hole"
"MH2","M3, Tight Fit","TopLayer","MOUNT_M3_TIGHT","71.0000","54.0000","0","Machine screw M3 Mounting Hole"
"MH1","M3, Tight Fit","TopLayer","MOUNT_M3_TIGHT","129.0000","54.0000","0","Machine screw M3 Mounting Hole"
"J6","USB4105-GF-A","TopLayer","FP-USB4105-GF-A-MFG","139.7500","102.8775","180","CONN RCPT USB2.0 TYPEC 5A"
"U11","SC0914_7_","BottomLayer","QFN40P700X700X90-57N-D","137.6680","72.3739","180","Connector"
"E1","1912320000","TopLayer","PS_3_5_90_02","54.6100","104.1400","180","OMNIMATE Signal - series PS"
"U12","USB2422-I/MJ","BottomLayer","FP-24-S4QFN-4x4B-0_5P-MFG","64.8309","90.0073","0","IC HUB CTLR USB 2.0 24QFN"
"U10","RT8058","TopLayer","QFN16_50P300X300X100_HS-17M","115.8250","82.7920","0","Switching supply controller, 2A"
"U8","RT8058","TopLayer","QFN16_50P300X300X100_HS-17M","115.9510","73.5330","0","Switching supply controller, 2A"
"L2","4.7uH","TopLayer","NR6028","109.4740","82.5500","270","fixed ind, ferrite, shielded"
"L1","4.7uH","TopLayer","NR6028","109.0930","71.6876","270","fixed ind, ferrite, shielded"
"SD1","DM3AT-SF-PEJM5","BottomLayer","FP-DM3AT-SF-PEJM5-MFG","158.7920","54.8276","270","Micro SD Card Connector, 0.5 A, 125 V, -25 to 85 degC, 8-Pin SMD, RoHS, Tape and Reel"
"J3","J00-0045NL","TopLayer","FP-J00-0045NL-MFG","157.1250","98.2850","270","CONN JACK 1PORT 100 BASE-TX PCB"
"SW4","1-1825058-9","TopLayer","FP-1-1825058-9-MFG","57.5462","79.6798","0","SWITCH SLIDE DIP SPST 100MA 24V"
"D19","LED, 0603, Red","TopLayer","LED-0603-RED","57.1500","62.0000","180","Chip LED, Red"
"D14","LED, 0603, Green","TopLayer","LED-0603-GREEN","57.1500","64.0000","180","Chip LED, Green"
"D11","LED, 0603, Green","TopLayer","LED-0603-GREEN","57.1500","66.0000","180","Chip LED, Green"
"J2","USB4105-GF-A","TopLayer","FP-USB4105-GF-A-MFG","46.9325","92.7100","270","CONN RCPT USB2.0 TYPEC 5A"
"SW5","EVP-ASDC1A","TopLayer","EVPAS","82.5500","46.9900","0","Pushbutton, SMD, 2.5NM force, NO"
"D10","LED, 0603, Red","TopLayer","LED-0603-RED","67.3100","71.1200","0","Chip LED, Red"
"D9","LED, 0603, Green","TopLayer","LED-0603-GREEN","67.3100","73.6600","0","Chip LED, Green"
"D8","LED, 0603, Red","TopLayer","LED-0603-RED","67.3100","76.2000","0","Chip LED, Red"
"D7","LED, 0603, Green","TopLayer","LED-0603-GREEN","67.3100","78.7400","0","Chip LED, Green"
"D6","LED, 0603, Blue","TopLayer","LED-0603-BLUE","67.3100","81.2800","0","Chip LED, Blue"
"D5","LED, 0603, Red","TopLayer","LED-0603-RED","67.3100","83.8200","0","Chip LED, Red"
"D4","LED, 0603, Green","TopLayer","LED-0603-GREEN","67.3100","86.3600","0","Chip LED, Green"
"D3","LED, 0603, Blue","TopLayer","LED-0603-BLUE","67.3100","88.9000","0","Chip LED, Blue"
"J5","PN","TopLayer","CONN_10x2_SHROUDED_2.54mm","46.9900","52.0700","90","Header, 2-Row, 20-pin, 0.1""
"E3","1912330000","TopLayer","PS_3_5_90_03","142.2400","31.7500","0","OMNIMATE Signal - series PS"
"E2","1912330000","TopLayer","PS_3_5_90_03","152.7400","31.7500","0","OMNIMATE Signal - series PS"
"U3","ISL83485IBZ-T","BottomLayer","SOIC8_NARROW","135.6257","48.2600","90","IC TXRX RS422/RS485"
"U5","FT4232HQ-Tray","BottomLayer","QFN64_2_N","65.0240","64.0080","180","Quad High Speed USB To Multipurpose UART/MPSSE IC, 64-pin QFN, Tray"
"PMOD0","PMOD, 12-pin, RA, Through-Hole","TopLayer","SAMTEC_SSW_106_02_X_D_RA_PMOD","86.3600","39.3700","270",""
"PMOD1","PMOD, 12-pin, RA, Through-Hole","TopLayer","SAMTEC_SSW_106_02_X_D_RA_PMOD","109.2200","39.3700","270",""
"P5","Header 6","TopLayer","HDR1X6_SLW-106-01-T-S","120.1100","48.9200","180","Header, 6-Pin"
"P4","Header 10","TopLayer","HDR1X10_SLW-110-01-T-S","93.1860","97.1800","180","Header, 10-Pin"
"P2","Header 8","TopLayer","HDR1X8_SLW-108-01-T-S","99.7900","48.9200","180","Header, 8-Pin"
"P1","Header 8","TopLayer","HDR1X8_SLW-108-01-T-S","117.5700","97.1800","180","Header, 8-Pin"
"P3","Header 20X2","TopLayer","HDR2X20_861400402YO2LF","100.0000","103.0000","0","Header, 20-Pin, Dual row"
